fraction_looped,looped_frames,n_beads,n_loops,replicate,total_frames,mutant,date,salt,hmgb1
0.0009732405969589873,3407,38,1,1,3500676,12SpacC1A,181005,Mg,80
0.014837515262649741,43783,32,6,2,2950831,12SpacC1A,181005,Mg,80
0.006379520022693244,15113,43,3,3,2368987,12SpacC1A,181005,Mg,80
0.010935633063023227,39520,35,3,4,3613874,12SpacC1A,181005,Mg,80
0.011659796900545744,40508,36,8,5,3474160,12SpacC1A,181005,Mg,80
0.02248358627761249,61922,33,5,6,2754098,12SpacC1A,181005,Mg,80
0.02014770469012142,87474,37,12,7,4341636,12SpacC1A,181005,Mg,80
0.006608458535804308,5448,13,1,1,824398,12SpacG11T,190617,Ca,40
0.0013608467705873396,1689,13,1,2,1241139,12SpacG11T,190617,Ca,40
0.005003262721439762,3941,6,2,3,787686,12SpacG11T,190617,Ca,40
0.009695808457056558,7550,7,4,4,778687,12SpacG11T,190617,Ca,40
0.002219956049543811,4750,20,1,5,2139682,12SpacG11T,190617,Ca,40
0.05577546626317662,126363,23,17,6,2265566,12SpacG11T,190617,Ca,40
0.03209687016804957,58040,16,6,7,1808276,12SpacG11T,190617,Ca,40
0.0267247016307359,26770,12,5,8,1001695,12SpacG11T,190617,Ca,40
0.016857485270119245,10423,11,2,1,618301,12HeptG7A,190423,Mg,80
0.008989941637331472,6622,9,2,2,736601,12HeptG7A,190423,Mg,80
0.016469207012748625,19667,13,6,3,1194168,12HeptG7A,190423,Mg,80
0.0032113555655332872,6294,22,3,4,1959920,12HeptG7A,190423,Mg,80
0.13193382573792425,309236,26,17,5,2343872,12HeptG7A,190423,Mg,80
0.02454234817658472,7678,4,2,6,312847,12HeptG7A,190423,Mg,80
0.12908918353526988,102558,13,4,7,794474,12HeptG7A,190423,Mg,80
0.00440669569481065,7810,16,3,8,1772303,12HeptG7A,190423,Mg,80
0.019079107412702388,31842,21,5,9,1668946,12HeptG7A,190423,Mg,80
0.10499523174074031,125732,10,2,10,1197502,12HeptG7A,190423,Mg,80
0.07652393301755911,107614,19,8,11,1406279,12HeptG7A,190423,Mg,80
0.045609460627670684,94387,19,1,12,2069461,12HeptG7A,190423,Mg,80
0.013521728431325824,27804,25,1,13,2056246,12HeptG7A,190423,Mg,80
0.025844176327888806,74063,32,5,14,2865752,12HeptG7A,190423,Mg,80
0.02853589298090708,75140,26,4,15,2633175,12HeptG7A,190423,Mg,80
0.03322245617819438,67767,17,6,16,2039795,12HeptG7A,190423,Mg,80
0.0016118081979821948,3573,20,1,17,2216765,12HeptG7A,190423,Mg,80
0.054052016584998114,111135,18,0,18,2056075,12HeptG7A,190423,Mg,80
0.015950717377595243,36853,22,6,19,2310429,12HeptG7A,190423,Mg,80
0.006202278715035059,2865,10,1,1,461927,12SpacG10T,170808,Mg,80
0.03966202126756178,33628,15,4,2,847864,12SpacG10T,170808,Mg,80
0.04434248013580772,69011,23,9,3,1556318,12SpacG10T,170808,Mg,80
0.03818087591993178,39268,17,6,4,1028473,12SpacG10T,170808,Mg,80
0.01296914831350886,21449,20,0,1,1653848,12HeptC3T,161102,Mg,80
0.011836839402442798,25516,21,6,2,2155643,12HeptC3T,161102,Mg,80
0.0,0,8,0,3,614321,12HeptC3T,161102,Mg,80
0.017492770542800205,41370,28,8,4,2364977,12HeptC3T,161102,Mg,80
0.04453444284520204,138741,31,11,5,3115364,12HeptC3T,161102,Mg,80
0.05317385533412048,240848,39,20,6,4529444,12HeptC3T,161102,Mg,80
0.01190633666009224,20072,22,2,7,1685825,12HeptC3T,161102,Mg,80
0.0,0,26,0,8,2625874,12HeptC3T,161102,Mg,80
0.003647950585058561,5920,17,4,9,1622829,12HeptC3T,161102,Mg,80
0.0,0,2,0,1,190715,DFL161,180330,Mg,80
0.0006398046340371814,2709,49,2,2,4234105,DFL161,180330,Mg,80
0.0012153096368563792,4914,41,3,3,4043414,DFL161,180330,Mg,80
0.0,0,41,0,4,3609768,DFL161,180330,Mg,80
0.0,0,59,0,5,5520329,DFL161,180330,Mg,80
0.008823083571395001,39987,46,4,6,4532089,DFL161,180330,Mg,80
0.0005154555635008446,1304,25,1,7,2529801,DFL161,180330,Mg,80
0.00799539559662934,9752,19,4,1,1219702,12HeptA4T,190702,Ca,80
0.057126750371792955,81474,18,8,2,1426197,12HeptA4T,190702,Ca,80
0.04996472474298932,102195,21,11,3,2045343,12HeptA4T,190702,Ca,80
0.023376255751764677,38813,18,1,4,1660360,12HeptA4T,190702,Ca,80
0.0009635599812359372,1292,15,1,5,1340861,12HeptA4T,190702,Ca,80
0.0,0,14,0,6,1361962,12HeptA4T,190702,Ca,80
0.013845189366980445,25795,20,6,7,1863102,12HeptA4T,190702,Ca,80
0.015637095577823033,46379,21,11,8,2965960,12HeptA4T,190702,Ca,80
0.0,0,18,0,9,493026,12HeptA4T,190702,Ca,80
0.05473374561578774,22737,19,3,10,415411,12HeptA4T,190702,Ca,80
