n_beads,n_cuts,replicate,mutant,date,salt,hmgb1
2,2,1,12SpacG6A,190425,Mg,80
1,0,2,12SpacG6A,190425,Mg,80
4,3,3,12SpacG6A,190425,Mg,80
12,2,4,12SpacG6A,190425,Mg,80
8,1,5,12SpacG6A,190425,Mg,80
5,2,6,12SpacG6A,190425,Mg,80
1,0,7,12SpacG6A,190425,Mg,80
3,1,8,12SpacG6A,190425,Mg,80
8,3,9,12SpacG6A,190425,Mg,80
5,3,10,12SpacG6A,190425,Mg,80
4,3,11,12SpacG6A,190425,Mg,80
3,2,12,12SpacG6A,190425,Mg,80
4,2,13,12SpacG6A,190425,Mg,80
8,2,14,12SpacG6A,190425,Mg,80
6,1,15,12SpacG6A,190425,Mg,80
1,0,1,12SpacG11T,190617,Ca,40
1,0,2,12SpacG11T,190617,Ca,40
2,0,3,12SpacG11T,190617,Ca,40
4,0,4,12SpacG11T,190617,Ca,40
1,0,5,12SpacG11T,190617,Ca,40
19,0,6,12SpacG11T,190617,Ca,40
10,0,7,12SpacG11T,190617,Ca,40
5,0,8,12SpacG11T,190617,Ca,40
13,0,1,12HeptT6C,160930,Mg,80
0,0,2,12HeptT6C,160930,Mg,80
1,0,3,12HeptT6C,160930,Mg,80
3,0,4,12HeptT6C,160930,Mg,80
4,2,5,12HeptT6C,160930,Mg,80
0,0,6,12HeptT6C,160930,Mg,80
7,0,7,12HeptT6C,160930,Mg,80
0,0,8,12HeptT6C,160930,Mg,80
0,0,1,V10-96,180405,Mg,80
2,1,2,V10-96,180405,Mg,80
5,3,3,V10-96,180405,Mg,80
6,2,4,V10-96,180405,Mg,80
4,0,1,12HeptA4T,190702,Ca,80
8,0,2,12HeptA4T,190702,Ca,80
13,0,3,12HeptA4T,190702,Ca,80
4,0,4,12HeptA4T,190702,Ca,80
1,0,5,12HeptA4T,190702,Ca,80
0,0,6,12HeptA4T,190702,Ca,80
6,0,7,12HeptA4T,190702,Ca,80
11,0,8,12HeptA4T,190702,Ca,80
0,0,9,12HeptA4T,190702,Ca,80
3,0,10,12HeptA4T,190702,Ca,80
5,0,11,12HeptA4T,190702,Ca,80
2,0,12,12HeptA4T,190702,Ca,80
13,0,13,12HeptA4T,190702,Ca,80
4,0,14,12HeptA4T,190702,Ca,80
8,0,15,12HeptA4T,190702,Ca,80
3,0,16,12HeptA4T,190702,Ca,80
3,1,1,12SpacG11T,190516,Mg,80
5,4,2,12SpacG11T,190516,Mg,80
14,6,3,12SpacG11T,190516,Mg,80
5,4,4,12SpacG11T,190516,Mg,80
4,0,5,12SpacG11T,190516,Mg,80
8,4,6,12SpacG11T,190516,Mg,80
5,1,7,12SpacG11T,190516,Mg,80
15,1,8,12SpacG11T,190516,Mg,80
4,1,9,12SpacG11T,190516,Mg,80
2,1,10,12SpacG11T,190516,Mg,80
7,2,11,12SpacG11T,190516,Mg,80
7,2,12,12SpacG11T,190516,Mg,80
0,0,13,12SpacG11T,190516,Mg,80
4,2,14,12SpacG11T,190516,Mg,80
6,2,15,12SpacG11T,190516,Mg,80
13,2,16,12SpacG11T,190516,Mg,80
4,1,17,12SpacG11T,190516,Mg,80
6,3,18,12SpacG11T,190516,Mg,80
18,2,19,12SpacG11T,190516,Mg,80
6,2,20,12SpacG11T,190516,Mg,80
10,3,21,12SpacG11T,190516,Mg,80
6,3,22,12SpacG11T,190516,Mg,80
12,5,23,12SpacG11T,190516,Mg,80
13,6,24,12SpacG11T,190516,Mg,80
11,2,25,12SpacG11T,190516,Mg,80
3,2,26,12SpacG11T,190516,Mg,80
6,3,27,12SpacG11T,190516,Mg,80
16,5,28,12SpacG11T,190516,Mg,80
6,1,29,12SpacG11T,190516,Mg,80
6,1,30,12SpacG11T,190516,Mg,80
22,1,31,12SpacG11T,190516,Mg,80
1,0,32,12SpacG11T,190516,Mg,80
2,0,33,12SpacG11T,190516,Mg,80
2,1,34,12SpacG11T,190516,Mg,80
7,2,35,12SpacG11T,190516,Mg,80
9,3,36,12SpacG11T,190516,Mg,80
3,1,37,12SpacG11T,190516,Mg,80
1,0,38,12SpacG11T,190516,Mg,80
0,0,39,12SpacG11T,190516,Mg,80
4,1,40,12SpacG11T,190516,Mg,80
4,3,41,12SpacG11T,190516,Mg,80
1,1,42,12SpacG11T,190516,Mg,80
11,0,43,12SpacG11T,190516,Mg,80
0,0,44,12SpacG11T,190516,Mg,80
1,0,1,V8-18,180416,Mg,80
6,0,2,V8-18,180416,Mg,80
0,0,3,V8-18,180416,Mg,80
0,0,4,V8-18,180416,Mg,80
5,3,1,DFL1613,170929,Mg,80
9,5,2,DFL1613,170929,Mg,80
24,11,3,DFL1613,170929,Mg,80
1,1,1,12SpacC1A,180327,Mg,80
6,3,2,12SpacC1A,180327,Mg,80
9,3,3,12SpacC1A,180327,Mg,80
6,2,4,12SpacC1A,180327,Mg,80
16,6,1,V6-17,180312,Mg,80
2,1,2,V6-17,180312,Mg,80
5,3,3,V6-17,180312,Mg,80
14,1,4,V6-17,180312,Mg,80
9,3,1,12SpacT9C,Date Unknown,Mg,80
9,0,2,12SpacT9C,Date Unknown,Mg,80
14,5,3,12SpacT9C,Date Unknown,Mg,80
18,4,4,12SpacT9C,Date Unknown,Mg,80
6,0,1,12NonA5T,161115,Mg,80
13,1,2,12NonA5T,161115,Mg,80
7,6,3,12NonA5T,161115,Mg,80
2,1,4,12NonA5T,161115,Mg,80
4,2,5,12NonA5T,161115,Mg,80
2,1,6,12NonA5T,161115,Mg,80
13,3,7,12NonA5T,161115,Mg,80
16,3,8,12NonA5T,161115,Mg,80
1,1,1,12SpacT9G,180403,Mg,80
3,3,2,12SpacT9G,180403,Mg,80
5,2,3,12SpacT9G,180403,Mg,80
7,3,1,12HeptG7C,160804,Mg,80
6,3,2,12HeptG7C,160804,Mg,80
17,4,3,12HeptG7C,160804,Mg,80
0,0,1,12HeptT6A,160902,Mg,80
1,1,2,12HeptT6A,160902,Mg,80
0,0,3,12HeptT6A,160902,Mg,80
0,0,4,12HeptT6A,160902,Mg,80
0,0,5,12HeptT6A,160902,Mg,80
0,0,6,12HeptT6A,160902,Mg,80
0,0,7,12HeptT6A,160902,Mg,80
0,0,1,12SpacA7G,180118,Mg,80
0,0,2,12SpacA7G,180118,Mg,80
5,2,3,12SpacA7G,180118,Mg,80
3,2,4,12SpacA7G,180118,Mg,80
2,1,5,12SpacA7G,180118,Mg,80
4,2,6,12SpacA7G,180118,Mg,80
4,2,7,12SpacA7G,180118,Mg,80
4,1,8,12SpacA7G,180118,Mg,80
5,2,1,12SpacC4G,170620,Mg,80
2,0,2,12SpacC4G,170620,Mg,80
4,0,3,12SpacC4G,170620,Mg,80
9,0,4,12SpacC4G,170620,Mg,80
8,2,5,12SpacC4G,170620,Mg,80
3,2,6,12SpacC4G,170620,Mg,80
2,1,7,12SpacC4G,170620,Mg,80
3,1,8,12SpacC4G,170620,Mg,80
3,0,9,12SpacC4G,170620,Mg,80
4,0,10,12SpacC4G,170620,Mg,80
1,0,1,V19-93,190521,Mg,80
3,0,2,V19-93,190521,Mg,80
5,3,3,V19-93,190521,Mg,80
1,1,4,V19-93,190521,Mg,80
5,5,5,V19-93,190521,Mg,80
2,1,6,V19-93,190521,Mg,80
6,3,7,V19-93,190521,Mg,80
4,2,8,V19-93,190521,Mg,80
12,1,9,V19-93,190521,Mg,80
5,4,10,V19-93,190521,Mg,80
2,1,11,V19-93,190521,Mg,80
2,2,12,V19-93,190521,Mg,80
9,2,13,V19-93,190521,Mg,80
5,4,14,V19-93,190521,Mg,80
2,1,1,12SpacA12C,170615,Mg,80
1,0,2,12SpacA12C,170615,Mg,80
2,1,3,12SpacA12C,170615,Mg,80
5,2,4,12SpacA12C,170615,Mg,80
2,2,5,12SpacA12C,170615,Mg,80
5,1,6,12SpacA12C,170615,Mg,80
3,0,1,12NonA4T,180401,Mg,80
4,4,2,12NonA4T,180401,Mg,80
5,2,3,12NonA4T,180401,Mg,80
1,0,4,12NonA4T,180401,Mg,80
2,1,1,12SpacC4T,170706,Mg,80
4,2,2,12SpacC4T,170706,Mg,80
0,0,3,12SpacC4T,170706,Mg,80
8,2,4,12SpacC4T,170706,Mg,80
1,0,5,12SpacC4T,170706,Mg,80
5,0,6,12SpacC4T,170706,Mg,80
6,2,7,12SpacC4T,170706,Mg,80
11,3,8,12SpacC4T,170706,Mg,80
34,5,9,12SpacC4T,170706,Mg,80
1,0,10,12SpacC4T,170706,Mg,80
33,10,11,12SpacC4T,170706,Mg,80
26,13,12,12SpacC4T,170706,Mg,80
13,8,13,12SpacC4T,170706,Mg,80
2,1,1,12SpacC8T,180122,Mg,80
1,0,2,12SpacC8T,180122,Mg,80
0,0,3,12SpacC8T,180122,Mg,80
4,0,4,12SpacC8T,180122,Mg,80
2,1,5,12SpacC8T,180122,Mg,80
2,1,6,12SpacC8T,180122,Mg,80
3,2,7,12SpacC8T,180122,Mg,80
0,0,1,12HeptT6AG7C,181029,Mg,80
0,0,2,12HeptT6AG7C,181029,Mg,80
1,0,3,12HeptT6AG7C,181029,Mg,80
0,0,4,12HeptT6AG7C,181029,Mg,80
0,0,1,12SpacA7C,Date Unknown,Mg,80
3,1,2,12SpacA7C,Date Unknown,Mg,80
2,2,3,12SpacA7C,Date Unknown,Mg,80
4,4,4,12SpacA7C,Date Unknown,Mg,80
3,1,5,12SpacA7C,Date Unknown,Mg,80
4,3,6,12SpacA7C,Date Unknown,Mg,80
2,0,7,12SpacA7C,Date Unknown,Mg,80
12,2,8,12SpacA7C,Date Unknown,Mg,80
7,2,9,12SpacA7C,Date Unknown,Mg,80
22,9,1,WT12rss,190411,Mg,80
10,3,2,WT12rss,190411,Mg,80
11,4,3,WT12rss,190411,Mg,80
6,6,4,WT12rss,190411,Mg,80
10,4,5,WT12rss,190411,Mg,80
0,0,6,WT12rss,190411,Mg,80
10,5,7,WT12rss,190411,Mg,80
2,2,8,WT12rss,190411,Mg,80
8,1,9,WT12rss,190411,Mg,80
11,4,10,WT12rss,190411,Mg,80
5,4,11,WT12rss,190411,Mg,80
1,0,12,WT12rss,190411,Mg,80
5,1,13,WT12rss,190411,Mg,80
2,1,14,WT12rss,190411,Mg,80
4,2,15,WT12rss,190411,Mg,80
5,1,16,WT12rss,190411,Mg,80
10,3,17,WT12rss,190411,Mg,80
3,1,18,WT12rss,190411,Mg,80
13,7,19,WT12rss,190411,Mg,80
9,4,20,WT12rss,190411,Mg,80
13,6,21,WT12rss,190411,Mg,80
2,0,22,WT12rss,190411,Mg,80
5,3,23,WT12rss,190411,Mg,80
9,2,24,WT12rss,190411,Mg,80
4,2,25,WT12rss,190411,Mg,80
7,2,26,WT12rss,190411,Mg,80
3,1,27,WT12rss,190411,Mg,80
7,0,1,12SpacG11T,190523,Mg,0
4,0,2,12SpacG11T,190523,Mg,0
1,0,3,12SpacG11T,190523,Mg,0
1,0,4,12SpacG11T,190523,Mg,0
1,0,5,12SpacG11T,190523,Mg,0
0,0,6,12SpacG11T,190523,Mg,0
8,0,7,12SpacG11T,190523,Mg,0
3,0,8,12SpacG11T,190523,Mg,0
13,1,1,V5-43,180329,Mg,80
6,0,2,V5-43,180329,Mg,80
0,0,3,V5-43,180329,Mg,80
2,1,4,V5-43,180329,Mg,80
