n_loops,bead_idx,replicate,mutant,date,salt,hmgb1
0,0,1,12SpacC1A,181005,Mg,80
0,1,1,12SpacC1A,181005,Mg,80
0,2,1,12SpacC1A,181005,Mg,80
0,3,1,12SpacC1A,181005,Mg,80
0,4,1,12SpacC1A,181005,Mg,80
0,5,1,12SpacC1A,181005,Mg,80
0,6,1,12SpacC1A,181005,Mg,80
1,7,1,12SpacC1A,181005,Mg,80
0,8,1,12SpacC1A,181005,Mg,80
0,9,1,12SpacC1A,181005,Mg,80
0,10,1,12SpacC1A,181005,Mg,80
0,11,1,12SpacC1A,181005,Mg,80
0,12,1,12SpacC1A,181005,Mg,80
0,13,1,12SpacC1A,181005,Mg,80
0,14,1,12SpacC1A,181005,Mg,80
0,15,1,12SpacC1A,181005,Mg,80
0,16,1,12SpacC1A,181005,Mg,80
0,17,1,12SpacC1A,181005,Mg,80
0,18,1,12SpacC1A,181005,Mg,80
0,19,1,12SpacC1A,181005,Mg,80
0,20,1,12SpacC1A,181005,Mg,80
0,21,1,12SpacC1A,181005,Mg,80
0,22,1,12SpacC1A,181005,Mg,80
0,23,1,12SpacC1A,181005,Mg,80
0,24,1,12SpacC1A,181005,Mg,80
0,25,1,12SpacC1A,181005,Mg,80
0,26,1,12SpacC1A,181005,Mg,80
0,27,1,12SpacC1A,181005,Mg,80
0,28,1,12SpacC1A,181005,Mg,80
0,29,1,12SpacC1A,181005,Mg,80
0,30,1,12SpacC1A,181005,Mg,80
0,31,1,12SpacC1A,181005,Mg,80
0,32,1,12SpacC1A,181005,Mg,80
0,33,1,12SpacC1A,181005,Mg,80
0,34,1,12SpacC1A,181005,Mg,80
0,35,1,12SpacC1A,181005,Mg,80
0,36,1,12SpacC1A,181005,Mg,80
0,37,1,12SpacC1A,181005,Mg,80
0,0,2,12SpacC1A,181005,Mg,80
1,1,2,12SpacC1A,181005,Mg,80
0,2,2,12SpacC1A,181005,Mg,80
0,3,2,12SpacC1A,181005,Mg,80
0,4,2,12SpacC1A,181005,Mg,80
0,5,2,12SpacC1A,181005,Mg,80
0,6,2,12SpacC1A,181005,Mg,80
0,7,2,12SpacC1A,181005,Mg,80
0,8,2,12SpacC1A,181005,Mg,80
0,9,2,12SpacC1A,181005,Mg,80
2,10,2,12SpacC1A,181005,Mg,80
0,11,2,12SpacC1A,181005,Mg,80
0,12,2,12SpacC1A,181005,Mg,80
0,13,2,12SpacC1A,181005,Mg,80
0,14,2,12SpacC1A,181005,Mg,80
0,15,2,12SpacC1A,181005,Mg,80
0,16,2,12SpacC1A,181005,Mg,80
0,17,2,12SpacC1A,181005,Mg,80
0,18,2,12SpacC1A,181005,Mg,80
0,19,2,12SpacC1A,181005,Mg,80
