n_beads,n_cuts,replicate,mutant,date,salt,hmgb1,mode,std,n_muts
3,0,4,12HeptT6C,160930,Mg,80,0.0,0.0,1.0
4,2,5,12HeptT6C,160930,Mg,80,0.5,0.0625,1.0
0,0,6,12HeptT6C,160930,Mg,80,,,1.0
7,0,7,12HeptT6C,160930,Mg,80,0.0,0.0,1.0
0,0,8,12HeptT6C,160930,Mg,80,,,1.0
0,0,1,V10-96,180405,Mg,80,,,10.0
2,1,2,V10-96,180405,Mg,80,0.5,0.125,10.0
5,3,3,V10-96,180405,Mg,80,0.6,0.048,10.0
6,2,4,V10-96,180405,Mg,80,0.3333333333333333,0.037037037037037035,10.0
4,0,1,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
8,0,2,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
13,0,3,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
4,0,4,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
1,0,5,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
0,0,6,12HeptA4T,190702,Ca,80,,,1.0
6,0,7,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
11,0,8,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
0,0,9,12HeptA4T,190702,Ca,80,,,1.0
3,0,10,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
5,0,11,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
2,0,12,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
13,0,13,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
4,0,14,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
8,0,15,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
3,0,16,12HeptA4T,190702,Ca,80,0.0,0.0,1.0
3,1,1,12SpacG11T,190516,Mg,80,0.3333333333333333,0.07407407407407407,1.0
5,4,2,12SpacG11T,190516,Mg,80,0.8,0.032,1.0
14,6,3,12SpacG11T,190516,Mg,80,0.42857142857142855,0.01749271137026239,1.0
5,4,4,12SpacG11T,190516,Mg,80,0.8,0.032,1.0
4,0,5,12SpacG11T,190516,Mg,80,0.0,0.0,1.0
8,4,6,12SpacG11T,190516,Mg,80,0.5,0.03125,1.0
5,1,7,12SpacG11T,190516,Mg,80,0.2,0.032,1.0
15,1,8,12SpacG11T,190516,Mg,80,0.06666666666666667,0.004148148148148148,1.0
4,1,9,12SpacG11T,190516,Mg,80,0.25,0.046875,1.0
2,1,10,12SpacG11T,190516,Mg,80,0.5,0.125,1.0
7,2,11,12SpacG11T,190516,Mg,80,0.2857142857142857,0.029154518950437316,1.0
7,2,12,12SpacG11T,190516,Mg,80,0.2857142857142857,0.029154518950437316,1.0
0,0,13,12SpacG11T,190516,Mg,80,,,1.0
4,2,14,12SpacG11T,190516,Mg,80,0.5,0.0625,1.0
6,2,15,12SpacG11T,190516,Mg,80,0.3333333333333333,0.037037037037037035,1.0
13,2,16,12SpacG11T,190516,Mg,80,0.15384615384615385,0.010013654984069186,1.0
4,1,17,12SpacG11T,190516,Mg,80,0.25,0.046875,1.0
6,3,18,12SpacG11T,190516,Mg,80,0.5,0.041666666666666664,1.0
18,2,19,12SpacG11T,190516,Mg,80,0.1111111111111111,0.0054869684499314125,1.0
6,2,20,12SpacG11T,190516,Mg,80,0.3333333333333333,0.037037037037037035,1.0
10,3,21,12SpacG11T,190516,Mg,80,0.3,0.021,1.0
6,3,22,12SpacG11T,190516,Mg,80,0.5,0.041666666666666664,1.0
12,5,23,12SpacG11T,190516,Mg,80,0.4166666666666667,0.02025462962962963,1.0
13,6,24,12SpacG11T,190516,Mg,80,0.46153846153846156,0.019116977696859355,1.0
11,2,25,12SpacG11T,190516,Mg,80,0.18181818181818182,0.013523666416228399,1.0
3,2,26,12SpacG11T,190516,Mg,80,0.6666666666666666,0.07407407407407407,1.0
6,3,27,12SpacG11T,190516,Mg,80,0.5,0.041666666666666664,1.0
16,5,28,12SpacG11T,190516,Mg,80,0.3125,0.013427734375,1.0
6,1,29,12SpacG11T,190516,Mg,80,0.16666666666666666,0.023148148148148147,1.0
6,1,30,12SpacG11T,190516,Mg,80,0.16666666666666666,0.023148148148148147,1.0
22,1,31,12SpacG11T,190516,Mg,80,0.045454545454545456,0.0019722013523666418,1.0
1,0,32,12SpacG11T,190516,Mg,80,0.0,0.0,1.0
2,0,33,12SpacG11T,190516,Mg,80,0.0,0.0,1.0
2,1,34,12SpacG11T,190516,Mg,80,0.5,0.125,1.0
7,2,35,12SpacG11T,190516,Mg,80,0.2857142857142857,0.029154518950437316,1.0
9,3,36,12SpacG11T,190516,Mg,80,0.3333333333333333,0.024691358024691357,1.0
3,1,37,12SpacG11T,190516,Mg,80,0.3333333333333333,0.07407407407407407,1.0
1,0,38,12SpacG11T,190516,Mg,80,0.0,0.0,1.0
0,0,39,12SpacG11T,190516,Mg,80,,,1.0
4,1,40,12SpacG11T,190516,Mg,80,0.25,0.046875,1.0
4,3,41,12SpacG11T,190516,Mg,80,0.75,0.046875,1.0
1,1,42,12SpacG11T,190516,Mg,80,1.0,0.0,1.0
11,0,43,12SpacG11T,190516,Mg,80,0.0,0.0,1.0
0,0,44,12SpacG11T,190516,Mg,80,,,1.0
1,0,1,V8-18,180416,Mg,80,0.0,0.0,9.0
6,0,2,V8-18,180416,Mg,80,0.0,0.0,9.0
0,0,3,V8-18,180416,Mg,80,,,9.0
0,0,4,V8-18,180416,Mg,80,,,9.0
5,3,1,DFL1613,170929,Mg,80,0.6,0.048,7.0
9,5,2,DFL1613,170929,Mg,80,0.5555555555555556,0.027434842249657063,7.0
24,11,3,DFL1613,170929,Mg,80,0.4583333333333333,0.010344328703703705,7.0
1,1,1,12SpacC1A,180327,Mg,80,1.0,0.0,1.0
6,3,2,12SpacC1A,180327,Mg,80,0.5,0.041666666666666664,1.0
9,3,3,12SpacC1A,180327,Mg,80,0.3333333333333333,0.024691358024691357,1.0
6,2,4,12SpacC1A,180327,Mg,80,0.3333333333333333,0.037037037037037035,1.0
16,6,1,V6-17,180312,Mg,80,0.375,0.0146484375,6.0
2,1,2,V6-17,180312,Mg,80,0.5,0.125,6.0
5,3,3,V6-17,180312,Mg,80,0.6,0.048,6.0
14,1,4,V6-17,180312,Mg,80,0.07142857142857142,0.0047376093294460644,6.0
9,3,1,12SpacT9C,Date Unknown,Mg,80,0.3333333333333333,0.024691358024691357,1.0
9,0,2,12SpacT9C,Date Unknown,Mg,80,0.0,0.0,1.0
14,5,3,12SpacT9C,Date Unknown,Mg,80,0.35714285714285715,0.01639941690962099,1.0
18,4,4,12SpacT9C,Date Unknown,Mg,80,0.2222222222222222,0.009602194787379973,1.0
6,0,1,12NonA5T,161115,Mg,80,0.0,0.0,1.0
13,1,2,12NonA5T,161115,Mg,80,0.07692307692307693,0.005461993627674101,1.0
7,6,3,12NonA5T,161115,Mg,80,0.8571428571428571,0.01749271137026239,1.0
2,1,4,12NonA5T,161115,Mg,80,0.5,0.125,1.0
4,2,5,12NonA5T,161115,Mg,80,0.5,0.0625,1.0
2,1,6,12NonA5T,161115,Mg,80,0.5,0.125,1.0
13,3,7,12NonA5T,161115,Mg,80,0.23076923076923078,0.013654984069185253,1.0
16,3,8,12NonA5T,161115,Mg,80,0.1875,0.009521484375,1.0
1,1,1,12SpacT9G,180403,Mg,80,1.0,0.0,1.0
3,3,2,12SpacT9G,180403,Mg,80,1.0,0.0,1.0
5,2,3,12SpacT9G,180403,Mg,80,0.4,0.048,1.0
7,3,1,12HeptG7C,160804,Mg,80,0.42857142857142855,0.03498542274052478,1.0
6,3,2,12HeptG7C,160804,Mg,80,0.5,0.041666666666666664,1.0
17,4,3,12HeptG7C,160804,Mg,80,0.23529411764705882,0.010584164461632404,1.0
0,0,1,12HeptT6A,160902,Mg,80,,,1.0
1,1,2,12HeptT6A,160902,Mg,80,1.0,0.0,1.0
0,0,3,12HeptT6A,160902,Mg,80,,,1.0
0,0,4,12HeptT6A,160902,Mg,80,,,1.0
0,0,5,12HeptT6A,160902,Mg,80,,,1.0
0,0,6,12HeptT6A,160902,Mg,80,,,1.0
0,0,7,12HeptT6A,160902,Mg,80,,,1.0
0,0,1,12SpacA7G,180118,Mg,80,,,1.0
0,0,2,12SpacA7G,180118,Mg,80,,,1.0
5,2,3,12SpacA7G,180118,Mg,80,0.4,0.048,1.0
3,2,4,12SpacA7G,180118,Mg,80,0.6666666666666666,0.07407407407407407,1.0
2,1,5,12SpacA7G,180118,Mg,80,0.5,0.125,1.0
4,2,6,12SpacA7G,180118,Mg,80,0.5,0.0625,1.0
4,2,7,12SpacA7G,180118,Mg,80,0.5,0.0625,1.0
4,1,8,12SpacA7G,180118,Mg,80,0.25,0.046875,1.0
5,2,1,12SpacC4G,170620,Mg,80,0.4,0.048,1.0
2,0,2,12SpacC4G,170620,Mg,80,0.0,0.0,1.0
4,0,3,12SpacC4G,170620,Mg,80,0.0,0.0,1.0
9,0,4,12SpacC4G,170620,Mg,80,0.0,0.0,1.0
8,2,5,12SpacC4G,170620,Mg,80,0.25,0.0234375,1.0
3,2,6,12SpacC4G,170620,Mg,80,0.6666666666666666,0.07407407407407407,1.0
2,1,7,12SpacC4G,170620,Mg,80,0.5,0.125,1.0
3,1,8,12SpacC4G,170620,Mg,80,0.3333333333333333,0.07407407407407407,1.0
3,0,9,12SpacC4G,170620,Mg,80,0.0,0.0,1.0
4,0,10,12SpacC4G,170620,Mg,80,0.0,0.0,1.0
1,0,1,V19-93,190521,Mg,80,0.0,0.0,6.0
3,0,2,V19-93,190521,Mg,80,0.0,0.0,6.0
5,3,3,V19-93,190521,Mg,80,0.6,0.048,6.0
1,1,4,V19-93,190521,Mg,80,1.0,0.0,6.0
5,5,5,V19-93,190521,Mg,80,1.0,0.0,6.0
2,1,6,V19-93,190521,Mg,80,0.5,0.125,6.0
6,3,7,V19-93,190521,Mg,80,0.5,0.041666666666666664,6.0
4,2,8,V19-93,190521,Mg,80,0.5,0.0625,6.0
12,1,9,V19-93,190521,Mg,80,0.08333333333333333,0.00636574074074074,6.0
5,4,10,V19-93,190521,Mg,80,0.8,0.032,6.0
2,1,11,V19-93,190521,Mg,80,0.5,0.125,6.0
2,2,12,V19-93,190521,Mg,80,1.0,0.0,6.0
9,2,13,V19-93,190521,Mg,80,0.2222222222222222,0.019204389574759947,6.0
5,4,14,V19-93,190521,Mg,80,0.8,0.032,6.0
2,1,1,12SpacA12C,170615,Mg,80,0.5,0.125,1.0
1,0,2,12SpacA12C,170615,Mg,80,0.0,0.0,1.0
2,1,3,12SpacA12C,170615,Mg,80,0.5,0.125,1.0
5,2,4,12SpacA12C,170615,Mg,80,0.4,0.048,1.0
2,2,5,12SpacA12C,170615,Mg,80,1.0,0.0,1.0
5,1,6,12SpacA12C,170615,Mg,80,0.2,0.032,1.0
3,0,1,12NonA4T,180401,Mg,80,0.0,0.0,1.0
4,4,2,12NonA4T,180401,Mg,80,1.0,0.0,1.0
5,2,3,12NonA4T,180401,Mg,80,0.4,0.048,1.0
1,0,4,12NonA4T,180401,Mg,80,0.0,0.0,1.0
2,1,1,12SpacC4T,170706,Mg,80,0.5,0.125,1.0
4,2,2,12SpacC4T,170706,Mg,80,0.5,0.0625,1.0
0,0,3,12SpacC4T,170706,Mg,80,,,1.0
8,2,4,12SpacC4T,170706,Mg,80,0.25,0.0234375,1.0
1,0,5,12SpacC4T,170706,Mg,80,0.0,0.0,1.0
5,0,6,12SpacC4T,170706,Mg,80,0.0,0.0,1.0
6,2,7,12SpacC4T,170706,Mg,80,0.3333333333333333,0.037037037037037035,1.0
11,3,8,12SpacC4T,170706,Mg,80,0.2727272727272727,0.018031555221637866,1.0
34,5,9,12SpacC4T,170706,Mg,80,0.14705882352941177,0.0036891919397516793,1.0
1,0,10,12SpacC4T,170706,Mg,80,0.0,0.0,1.0
33,10,11,12SpacC4T,170706,Mg,80,0.30303030303030304,0.0064000890447171435,1.0
26,13,12,12SpacC4T,170706,Mg,80,0.5,0.009615384615384616,1.0
13,8,13,12SpacC4T,170706,Mg,80,0.6153846153846154,0.018206645425580335,1.0
2,1,1,12SpacC8T,180122,Mg,80,0.5,0.125,1.0
1,0,2,12SpacC8T,180122,Mg,80,0.0,0.0,1.0
0,0,3,12SpacC8T,180122,Mg,80,,,1.0
4,0,4,12SpacC8T,180122,Mg,80,0.0,0.0,1.0
2,1,5,12SpacC8T,180122,Mg,80,0.5,0.125,1.0
2,1,6,12SpacC8T,180122,Mg,80,0.5,0.125,1.0
3,2,7,12SpacC8T,180122,Mg,80,0.6666666666666666,0.07407407407407407,1.0
0,0,1,12HeptT6AG7C,181029,Mg,80,,,2.0
0,0,2,12HeptT6AG7C,181029,Mg,80,,,2.0
1,0,3,12HeptT6AG7C,181029,Mg,80,0.0,0.0,2.0
0,0,4,12HeptT6AG7C,181029,Mg,80,,,2.0
0,0,1,12SpacA7C,Date Unknown,Mg,80,,,1.0
3,1,2,12SpacA7C,Date Unknown,Mg,80,0.3333333333333333,0.07407407407407407,1.0
2,2,3,12SpacA7C,Date Unknown,Mg,80,1.0,0.0,1.0
4,4,4,12SpacA7C,Date Unknown,Mg,80,1.0,0.0,1.0
3,1,5,12SpacA7C,Date Unknown,Mg,80,0.3333333333333333,0.07407407407407407,1.0
4,3,6,12SpacA7C,Date Unknown,Mg,80,0.75,0.046875,1.0
2,0,7,12SpacA7C,Date Unknown,Mg,80,0.0,0.0,1.0
12,2,8,12SpacA7C,Date Unknown,Mg,80,0.16666666666666666,0.011574074074074073,1.0
7,2,9,12SpacA7C,Date Unknown,Mg,80,0.2857142857142857,0.029154518950437316,1.0
22,9,1,WT12rss,190411,Mg,80,0.4090909090909091,0.010987978963185575,0.0
10,3,2,WT12rss,190411,Mg,80,0.3,0.021,0.0
11,4,3,WT12rss,190411,Mg,80,0.36363636363636365,0.021036814425244178,0.0
6,6,4,WT12rss,190411,Mg,80,1.0,0.0,0.0
10,4,5,WT12rss,190411,Mg,80,0.4,0.024,0.0
0,0,6,WT12rss,190411,Mg,80,,,0.0
10,5,7,WT12rss,190411,Mg,80,0.5,0.025,0.0
2,2,8,WT12rss,190411,Mg,80,1.0,0.0,0.0
8,1,9,WT12rss,190411,Mg,80,0.125,0.013671875,0.0
11,4,10,WT12rss,190411,Mg,80,0.36363636363636365,0.021036814425244178,0.0
5,4,11,WT12rss,190411,Mg,80,0.8,0.032,0.0
1,0,12,WT12rss,190411,Mg,80,0.0,0.0,0.0
5,1,13,WT12rss,190411,Mg,80,0.2,0.032,0.0
2,1,14,WT12rss,190411,Mg,80,0.5,0.125,0.0
4,2,15,WT12rss,190411,Mg,80,0.5,0.0625,0.0
5,1,16,WT12rss,190411,Mg,80,0.2,0.032,0.0
10,3,17,WT12rss,190411,Mg,80,0.3,0.021,0.0
3,1,18,WT12rss,190411,Mg,80,0.3333333333333333,0.07407407407407407,0.0
13,7,19,WT12rss,190411,Mg,80,0.5384615384615384,0.019116977696859355,0.0
9,4,20,WT12rss,190411,Mg,80,0.4444444444444444,0.027434842249657063,0.0
13,6,21,WT12rss,190411,Mg,80,0.46153846153846156,0.019116977696859355,0.0
2,0,22,WT12rss,190411,Mg,80,0.0,0.0,0.0
5,3,23,WT12rss,190411,Mg,80,0.6,0.048,0.0
9,2,24,WT12rss,190411,Mg,80,0.2222222222222222,0.019204389574759947,0.0
4,2,25,WT12rss,190411,Mg,80,0.5,0.0625,0.0
7,2,26,WT12rss,190411,Mg,80,0.2857142857142857,0.029154518950437316,0.0
3,1,27,WT12rss,190411,Mg,80,0.3333333333333333,0.07407407407407407,0.0
7,0,1,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
4,0,2,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
1,0,3,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
1,0,4,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
1,0,5,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
0,0,6,12SpacG11T,190523,Mg,0,,,1.0
8,0,7,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
3,0,8,12SpacG11T,190523,Mg,0,0.0,0.0,1.0
13,1,1,V5-43,180329,Mg,80,0.07692307692307693,0.005461993627674101,7.0
6,0,2,V5-43,180329,Mg,80,0.0,0.0,7.0
0,0,3,V5-43,180329,Mg,80,,,7.0
2,1,4,V5-43,180329,Mg,80,0.5,0.125,7.0
2,1,5,V5-43,180329,Mg,80,0.5,0.125,7.0
6,0,1,V6-15,190515,Mg,80,0.0,0.0,7.0
2,1,2,V6-15,190515,Mg,80,0.5,0.125,7.0
4,0,3,V6-15,190515,Mg,80,0.0,0.0,7.0
1,0,4,V6-15,190515,Mg,80,0.0,0.0,7.0
2,0,5,V6-15,190515,Mg,80,0.0,0.0,7.0
3,0,6,V6-15,190515,Mg,80,0.0,0.0,7.0
1,0,7,V6-15,190515,Mg,80,0.0,0.0,7.0
3,0,8,V6-15,190515,Mg,80,0.0,0.0,7.0
5,0,9,V6-15,190515,Mg,80,0.0,0.0,7.0
4,0,10,V6-15,190515,Mg,80,0.0,0.0,7.0
3,0,11,V6-15,190515,Mg,80,0.0,0.0,7.0
9,0,1,12HeptC3G,161002,Mg,80,0.0,0.0,1.0
11,0,2,12HeptC3G,161002,Mg,80,0.0,0.0,1.0
10,1,3,12HeptC3G,161002,Mg,80,0.1,0.009,1.0
10,0,4,12HeptC3G,161002,Mg,80,0.0,0.0,1.0
13,0,5,12HeptC3G,161002,Mg,80,0.0,0.0,1.0
0,0,6,12HeptC3G,161002,Mg,80,,,1.0
6,0,7,12HeptC3G,161002,Mg,80,0.0,0.0,1.0
4,0,8,12HeptC3G,161002,Mg,80,0.0,0.0,1.0
0,0,1,DFL161,180330,Mg,80,,,10.0
3,0,2,DFL161,180330,Mg,80,0.0,0.0,10.0
3,1,3,DFL161,180330,Mg,80,0.3333333333333333,0.07407407407407407,10.0
0,0,4,DFL161,180330,Mg,80,,,10.0
0,0,5,DFL161,180330,Mg,80,,,10.0
5,0,6,DFL161,180330,Mg,80,0.0,0.0,10.0
0,0,7,DFL161,180330,Mg,80,,,10.0
2,0,1,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
7,0,2,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
0,0,3,12HeptC3T,161102,Mg,80,,,1.0
8,0,4,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
9,0,5,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
19,2,6,12HeptC3T,161102,Mg,80,0.10526315789473684,0.0049569908149876074,1.0
6,0,7,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
1,0,8,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
5,0,9,12HeptC3T,161102,Mg,80,0.0,0.0,1.0
2,2,1,12SpacG10T,170808,Mg,80,1.0,0.0,1.0
5,4,2,12SpacG10T,170808,Mg,80,0.8,0.032,1.0
11,8,3,12SpacG10T,170808,Mg,80,0.7272727272727273,0.018031555221637866,1.0
6,5,4,12SpacG10T,170808,Mg,80,0.8333333333333334,0.023148148148148147,1.0
15,0,1,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
40,0,2,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
20,0,3,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
3,0,4,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
25,0,5,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
5,0,6,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
15,0,7,12SpacG11T,190613,Ca,160,0.0,0.0,1.0
2,1,1,12SpacC1A,181005,Mg,80,0.5,0.125,1.0
6,2,2,12SpacC1A,181005,Mg,80,0.3333333333333333,0.037037037037037035,1.0
3,2,3,12SpacC1A,181005,Mg,80,0.6666666666666666,0.07407407407407407,1.0
2,1,4,12SpacC1A,181005,Mg,80,0.5,0.125,1.0
19,3,5,12SpacC1A,181005,Mg,80,0.15789473684210525,0.006998104679982505,1.0
6,3,6,12SpacC1A,181005,Mg,80,0.5,0.041666666666666664,1.0
14,8,7,12SpacC1A,181005,Mg,80,0.5714285714285714,0.01749271137026239,1.0
2,0,1,12HeptG7A,190423,Mg,80,0.0,0.0,1.0
2,1,2,12HeptG7A,190423,Mg,80,0.5,0.125,1.0
5,3,3,12HeptG7A,190423,Mg,80,0.6,0.048,1.0
3,1,4,12HeptG7A,190423,Mg,80,0.3333333333333333,0.07407407407407407,1.0
17,7,5,12HeptG7A,190423,Mg,80,0.4117647058823529,0.014247913698351313,1.0
3,1,6,12HeptG7A,190423,Mg,80,0.3333333333333333,0.07407407407407407,1.0
7,1,7,12HeptG7A,190423,Mg,80,0.14285714285714285,0.01749271137026239,1.0
5,0,8,12HeptG7A,190423,Mg,80,0.0,0.0,1.0
6,2,9,12HeptG7A,190423,Mg,80,0.3333333333333333,0.037037037037037035,1.0
5,0,10,12HeptG7A,190423,Mg,80,0.0,0.0,1.0
13,1,11,12HeptG7A,190423,Mg,80,0.07692307692307693,0.005461993627674101,1.0
9,1,12,12HeptG7A,190423,Mg,80,0.1111111111111111,0.010973936899862825,1.0
1,1,13,12HeptG7A,190423,Mg,80,1.0,0.0,1.0
5,2,14,12HeptG7A,190423,Mg,80,0.4,0.048,1.0
7,2,15,12HeptG7A,190423,Mg,80,0.2857142857142857,0.029154518950437316,1.0
5,3,16,12HeptG7A,190423,Mg,80,0.6,0.048,1.0
2,0,17,12HeptG7A,190423,Mg,80,0.0,0.0,1.0
1,0,18,12HeptG7A,190423,Mg,80,0.0,0.0,1.0
7,3,19,12HeptG7A,190423,Mg,80,0.42857142857142855,0.03498542274052478,1.0
5,2,1,12SpacG11C,180523,Mg,80,0.4,0.048,1.0
9,3,2,12SpacG11C,180523,Mg,80,0.3333333333333333,0.024691358024691357,1.0
12,2,3,12SpacG11C,180523,Mg,80,0.16666666666666666,0.011574074074074073,1.0
3,1,4,12SpacG11C,180523,Mg,80,0.3333333333333333,0.07407407407407407,1.0
4,2,1,12NonC9T,180201,Mg,80,0.5,0.0625,1.0
1,0,2,12NonC9T,180201,Mg,80,0.0,0.0,1.0
3,1,3,12NonC9T,180201,Mg,80,0.3333333333333333,0.07407407407407407,1.0
3,3,4,12NonC9T,180201,Mg,80,1.0,0.0,1.0
4,2,5,12NonC9T,180201,Mg,80,0.5,0.0625,1.0
8,4,6,12NonC9T,180201,Mg,80,0.5,0.03125,1.0
1,0,1,12HeptG7T,161007,Mg,80,0.0,0.0,1.0
7,2,2,12HeptG7T,161007,Mg,80,0.2857142857142857,0.029154518950437316,1.0
7,3,3,12HeptG7T,161007,Mg,80,0.42857142857142855,0.03498542274052478,1.0
4,1,4,12HeptG7T,161007,Mg,80,0.25,0.046875,1.0
4,1,5,12HeptG7T,161007,Mg,80,0.25,0.046875,1.0
8,0,6,12HeptG7T,161007,Mg,80,0.0,0.0,1.0
11,0,7,12HeptG7T,161007,Mg,80,0.0,0.0,1.0
1,0,8,12HeptG7T,161007,Mg,80,0.0,0.0,1.0
0,0,9,12HeptG7T,161007,Mg,80,,,1.0
0,0,10,12HeptG7T,161007,Mg,80,,,1.0
8,0,11,12HeptG7T,161007,Mg,80,0.0,0.0,1.0
1,0,12,12HeptG7T,161007,Mg,80,0.0,0.0,1.0
6,2,1,12SpacG10A,190506,Mg,80,0.3333333333333333,0.037037037037037035,1.0
13,7,2,12SpacG10A,190506,Mg,80,0.5384615384615384,0.019116977696859355,1.0
11,7,3,12SpacG10A,190506,Mg,80,0.6363636363636364,0.021036814425244178,1.0
9,8,4,12SpacG10A,190506,Mg,80,0.8888888888888888,0.010973936899862825,1.0
8,1,5,12SpacG10A,190506,Mg,80,0.125,0.013671875,1.0
6,2,6,12SpacG10A,190506,Mg,80,0.3333333333333333,0.037037037037037035,1.0
14,4,7,12SpacG10A,190506,Mg,80,0.2857142857142857,0.014577259475218658,1.0
3,1,8,12SpacG10A,190506,Mg,80,0.3333333333333333,0.07407407407407407,1.0
1,1,9,12SpacG10A,190506,Mg,80,1.0,0.0,1.0
3,0,10,12SpacG10A,190506,Mg,80,0.0,0.0,1.0
1,1,1,V10-96,180331,Mg,80,1.0,0.0,10.0
13,2,2,V10-96,180331,Mg,80,0.15384615384615385,0.010013654984069186,10.0
10,5,3,V10-96,180331,Mg,80,0.5,0.025,10.0
9,3,4,V10-96,180331,Mg,80,0.3333333333333333,0.024691358024691357,10.0
0,0,1,12HeptG5A,180301,Mg,80,,,1.0
4,2,2,12HeptG5A,180301,Mg,80,0.5,0.0625,1.0
0,0,3,12HeptG5A,180301,Mg,80,,,1.0
1,0,4,12HeptG5A,180301,Mg,80,0.0,0.0,1.0
1,1,5,12HeptG5A,180301,Mg,80,1.0,0.0,1.0
1,0,6,12HeptG5A,180301,Mg,80,0.0,0.0,1.0
7,0,7,12HeptG5A,180301,Mg,80,0.0,0.0,1.0
24,0,1,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
16,0,2,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
8,0,3,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
4,0,4,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
5,0,5,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
18,0,6,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
7,0,7,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
18,1,8,12SpacG11T,190529,Ca,80,0.05555555555555555,0.002914951989026063,1.0
7,0,9,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
18,1,10,12SpacG11T,190529,Ca,80,0.05555555555555555,0.002914951989026063,1.0
15,0,11,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
7,0,12,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
1,0,13,12SpacG11T,190529,Ca,80,0.0,0.0,1.0
