n_beads,n_cuts,replicate,mutant,date,salt,hmgb1,mode,std,n_muts
2,2,1,12SpacG6A,190425,Mg,80,1.0,0.0,1.0
1,0,2,12SpacG6A,190425,Mg,80,0.0,0.0,1.0
4,3,3,12SpacG6A,190425,Mg,80,0.75,0.046875,1.0
12,2,4,12SpacG6A,190425,Mg,80,0.16666666666666666,0.011574074074074073,1.0
8,1,5,12SpacG6A,190425,Mg,80,0.125,0.013671875,1.0
5,2,6,12SpacG6A,190425,Mg,80,0.4,0.048,1.0
1,0,7,12SpacG6A,190425,Mg,80,0.0,0.0,1.0
3,1,8,12SpacG6A,190425,Mg,80,0.3333333333333333,0.07407407407407407,1.0
8,3,9,12SpacG6A,190425,Mg,80,0.375,0.029296875,1.0
5,3,10,12SpacG6A,190425,Mg,80,0.6,0.048,1.0
4,3,11,12SpacG6A,190425,Mg,80,0.75,0.046875,1.0
3,2,12,12SpacG6A,190425,Mg,80,0.6666666666666666,0.07407407407407407,1.0
4,2,13,12SpacG6A,190425,Mg,80,0.5,0.0625,1.0
8,2,14,12SpacG6A,190425,Mg,80,0.25,0.0234375,1.0
6,1,15,12SpacG6A,190425,Mg,80,0.16666666666666666,0.023148148148148147,1.0
1,0,1,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
1,0,2,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
2,0,3,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
4,0,4,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
1,0,5,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
19,0,6,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
10,0,7,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
5,0,8,12SpacG11T,190617,Ca,40,0.0,0.0,1.0
13,0,1,12HeptT6C,160930,Mg,80,0.0,0.0,1.0
0,0,2,12HeptT6C,160930,Mg,80,,,1.0
1,0,3,12HeptT6C,160930,Mg,80,0.0,0.0,1.0
