index,dwell_time_min,cut,replicate,mutant,date
0,0.8088888888888889,0,2,12SpacG6A,190425
0,3.2177777777777776,0,3,12SpacG6A,190425
1,4.450555555555556,0,3,12SpacG6A,190425
2,1.2666666666666666,0,3,12SpacG6A,190425
3,1.01,0,3,12SpacG6A,190425
0,7.344444444444444,0,4,12SpacG6A,190425
1,1.7166666666666666,0,4,12SpacG6A,190425
2,1.8344444444444445,0,4,12SpacG6A,190425
3,1.1077777777777778,0,4,12SpacG6A,190425
4,0.7433333333333333,0,4,12SpacG6A,190425
5,1.2627777777777778,0,4,12SpacG6A,190425
6,4.378333333333333,0,4,12SpacG6A,190425
7,3.0772222222222223,0,4,12SpacG6A,190425
0,0.8177777777777778,0,6,12SpacG6A,190425
1,2.1083333333333334,0,6,12SpacG6A,190425
2,0.8122222222222222,0,6,12SpacG6A,190425
3,9.658888888888889,0,6,12SpacG6A,190425
4,1.5122222222222221,0,6,12SpacG6A,190425
0,0.7744444444444445,0,7,12SpacG6A,190425
0,2.411111111111111,0,9,12SpacG6A,190425
1,1.1244444444444444,0,9,12SpacG6A,190425
2,1.468888888888889,0,9,12SpacG6A,190425
3,5.661666666666667,0,9,12SpacG6A,190425
4,9.706666666666667,0,9,12SpacG6A,190425
5,2.582222222222222,0,9,12SpacG6A,190425
6,8.683333333333334,0,9,12SpacG6A,190425
7,7.836111111111111,0,9,12SpacG6A,190425
0,1.935,0,10,12SpacG6A,190425
1,7.413888888888889,0,10,12SpacG6A,190425
2,0.7766666666666666,0,10,12SpacG6A,190425
3,0.8355555555555556,0,10,12SpacG6A,190425
4,0.8472222222222222,0,10,12SpacG6A,190425
0,2.348888888888889,0,11,12SpacG6A,190425
1,1.0205555555555557,0,11,12SpacG6A,190425
2,1.426111111111111,0,11,12SpacG6A,190425
3,38.242222222222225,0,11,12SpacG6A,190425
0,2.691666666666667,0,12,12SpacG6A,190425
1,0.7772222222222223,0,12,12SpacG6A,190425
2,1.2116666666666667,0,12,12SpacG6A,190425
0,53.126666666666665,0,13,12SpacG6A,190425
1,1.2138888888888888,0,13,12SpacG6A,190425
2,2.4344444444444444,0,13,12SpacG6A,190425
3,66.26722222222222,0,13,12SpacG6A,190425
0,8.825555555555555,0,14,12SpacG6A,190425
1,13.687222222222223,0,14,12SpacG6A,190425
2,16.459444444444443,0,14,12SpacG6A,190425
3,5.928333333333334,0,14,12SpacG6A,190425
4,2.401666666666667,0,14,12SpacG6A,190425
5,1.0827777777777778,0,14,12SpacG6A,190425
6,38.36,0,14,12SpacG6A,190425
7,1.5977777777777777,0,14,12SpacG6A,190425
0,0.88,0,1,12HeptT6C,160930
1,5.987777777777778,0,1,12HeptT6C,160930
2,1.2633333333333334,0,1,12HeptT6C,160930
3,3.902222222222222,0,1,12HeptT6C,160930
4,1.2183333333333333,0,1,12HeptT6C,160930
5,1.208888888888889,0,1,12HeptT6C,160930
6,6.294444444444444,0,1,12HeptT6C,160930
7,1.4533333333333334,0,1,12HeptT6C,160930
8,4.1338888888888885,0,1,12HeptT6C,160930
9,2.9122222222222223,0,1,12HeptT6C,160930
10,0.8111111111111111,0,1,12HeptT6C,160930
11,0.7794444444444445,0,1,12HeptT6C,160930
0,0.7527777777777778,0,3,12HeptT6C,160930
0,0.7622222222222222,0,4,12HeptT6C,160930
1,0.7177777777777777,0,4,12HeptT6C,160930
2,1.3822222222222222,0,4,12HeptT6C,160930
0,3.225,0,5,12HeptT6C,160930
1,2.867777777777778,0,5,12HeptT6C,160930
2,2.848888888888889,0,5,12HeptT6C,160930
3,0.7594444444444445,0,5,12HeptT6C,160930
0,1.6188888888888888,0,7,12HeptT6C,160930
1,1.6344444444444444,0,7,12HeptT6C,160930
2,29.99388888888889,0,7,12HeptT6C,160930
3,2.727777777777778,0,7,12HeptT6C,160930
4,2.2383333333333333,0,7,12HeptT6C,160930
5,1.0183333333333333,0,7,12HeptT6C,160930
6,3.7783333333333333,0,7,12HeptT6C,160930
0,8.078888888888889,0,3,V10-95,180405
1,0.7616666666666667,0,3,V10-95,180405
2,4.44,0,3,V10-95,180405
3,25.064444444444444,0,3,V10-95,180405
4,15.217222222222222,0,3,V10-95,180405
0,1.323888888888889,0,4,V10-95,180405
1,4.156666666666666,0,4,V10-95,180405
2,6.716666666666667,0,4,V10-95,180405
3,0.9633333333333334,0,4,V10-95,180405
4,0.8122222222222222,0,4,V10-95,180405
5,37.29555555555555,0,4,V10-95,180405
0,3.755,0,2,12SpacG11T,190516
1,2.241111111111111,0,2,12SpacG11T,190516
2,4.42,0,2,12SpacG11T,190516
3,23.696666666666665,0,2,12SpacG11T,190516
4,2.2466666666666666,0,2,12SpacG11T,190516
0,1.0144444444444445,0,3,12SpacG11T,190516
1,5.298333333333333,0,3,12SpacG11T,190516
2,0.7972222222222223,0,3,12SpacG11T,190516
3,2.453888888888889,0,3,12SpacG11T,190516
4,1.765,0,3,12SpacG11T,190516
5,3.062222222222222,0,3,12SpacG11T,190516
6,1.4244444444444444,0,3,12SpacG11T,190516
7,3.2733333333333334,0,3,12SpacG11T,190516
8,2.236666666666667,0,3,12SpacG11T,190516
9,1.873888888888889,0,3,12SpacG11T,190516
10,4.978888888888889,0,3,12SpacG11T,190516
11,3.046666666666667,0,3,12SpacG11T,190516
12,2.292777777777778,0,3,12SpacG11T,190516
13,2.1205555555555557,0,3,12SpacG11T,190516
0,1.6083333333333334,0,4,12SpacG11T,190516
1,1.0122222222222221,0,4,12SpacG11T,190516
2,1.0227777777777778,0,4,12SpacG11T,190516
3,1.1855555555555555,0,4,12SpacG11T,190516
4,30.58888888888889,0,4,12SpacG11T,190516
0,1.0094444444444444,0,5,12SpacG11T,190516
1,0.9011111111111111,0,5,12SpacG11T,190516
2,0.9216666666666666,0,5,12SpacG11T,190516
3,0.7283333333333334,0,5,12SpacG11T,190516
0,4.732222222222222,0,6,12SpacG11T,190516
1,0.9927777777777778,0,6,12SpacG11T,190516
2,0.795,0,6,12SpacG11T,190516
3,4.507777777777778,0,6,12SpacG11T,190516
4,0.8944444444444445,0,6,12SpacG11T,190516
5,6.342222222222222,0,6,12SpacG11T,190516
6,6.4494444444444445,0,6,12SpacG11T,190516
0,0.89,0,11,12SpacG11T,190516
1,1.2516666666666667,0,11,12SpacG11T,190516
2,4.977777777777778,0,11,12SpacG11T,190516
3,1.9133333333333333,0,11,12SpacG11T,190516
4,1.085,0,11,12SpacG11T,190516
5,1.8133333333333332,0,11,12SpacG11T,190516
6,19.725555555555555,0,11,12SpacG11T,190516
0,2.263333333333333,0,12,12SpacG11T,190516
1,1.806111111111111,0,12,12SpacG11T,190516
